"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"10962","Lovely room 2 & garden; Best area, Legal rental","9744","Laurie","Brooklyn","South Slope","40.66869","-73.9878","Private room","89","4","168","2019-06-21","1.41","3","340"
"11708","Cute apt in artist's home","44145","Tyrome","Brooklyn","Bushwick","40.70186","-73.92745","Entire home/apt","85","2","231","2019-06-22","1.96","2","22"
"11943","Country space in the city","45445","Harriet","Brooklyn","Flatbush","40.63702","-73.96327","Private room","150","1","0","","0","1","365"
"12048","LowerEastSide apt share shortterm 1","7549","Ben","Manhattan","Lower East Side","40.71401","-73.98917","Shared room","40","1","214","2019-07-05","1.81","4","188"
"12192","ENJOY Downtown NYC!","46978","Edward","Manhattan","East Village","40.7229","-73.98199","Private room","68","2","245","2019-06-21","2.08","2","96"
"12299","Beautiful Sunny Park Slope Brooklyn","47610","Abdul","Brooklyn","South Slope","40.66278","-73.97966","Entire home/apt","120","3","15","2019-05-27","0.39","1","345"
"12303","1bdr w private bath. in lofty apt","47618","Yolande","Brooklyn","Fort Greene","40.69673","-73.97584","Private room","120","7","25","2018-09-30","0.23","1","311"
"12318","West Side Retreat","16800","Cyn","Manhattan","Upper West Side","40.79009","-73.97927","Private room","135","4","81","2019-06-16","0.69","1","273"
"12343","BEST BET IN HARLEM","47727","Earl","Manhattan","Harlem","40.81175","-73.94478","Entire home/apt","150","7","97","2019-06-13","0.84","1","309"
"12937","1 Stop fr. Manhattan! Private Suite,Landmark Block","50124","Orestes","Queens","Long Island City","40.74771","-73.9474","Private room","130","3","248","2019-07-01","2.25","1","215"
"12940","Charming Brownstone 3 - Near PRATT","50148","Adreinne","Brooklyn","Bedford-Stuyvesant","40.68111","-73.95591","Entire home/apt","110","7","61","2019-05-25","0.52","1","265"
"13050","bright and stylish duplex","50846","Jennifer","Brooklyn","Bedford-Stuyvesant","40.68554","-73.9409","Entire home/apt","115","3","11","2017-01-01","0.1","1","0"
"13394","Fort Greene brownstone","52335","Alexander","Brooklyn","Fort Greene","40.69142","-73.97376","Private room","80","3","135","2019-06-17","1.16","2","192"
"13808","Blue Room for 2 in Brownstone for $1350 monthly","54275","JT And Tiziana","Brooklyn","Bedford-Stuyvesant","40.68043","-73.93934","Private room","80","1","112","2019-06-16","1.01","3","251"
"14287","Cozy 1BD on Central Park West in New York City","56094","Joya","Manhattan","Upper West Side","40.78635","-73.97008","Entire home/apt","151","2","73","2019-07-07","0.63","1","302"
"14290","* ORIGINAL BROOKLYN LOFT *","56104","James","Brooklyn","Williamsburg","40.7042","-73.9356","Entire home/apt","228","3","82","2019-05-17","0.7","1","140"
"14314","Greenpoint Place...Has It All!","56246","Jeanne","Brooklyn","Greenpoint","40.73506","-73.95392","Entire home/apt","144","2","328","2019-06-29","2.82","1","234"
"14322","Beautiful Apartment in Manhattan!!!","56284","Francesca","Manhattan","Kips Bay","40.73961","-73.98074","Entire home/apt","200","7","19","2019-03-25","0.22","1","257"
"14991","Great Location, Manhattan Bedroom!","59023","Bianca","Manhattan","Lower East Side","40.72004","-73.99104","Private room","110","5","19","2019-05-18","0.17","1","301"
"15220","Best Location in NYC! TIMES SQUARE!","59734","Luiz","Manhattan","Hell's Kitchen","40.75531","-73.99293","Private room","69","2","289","2019-06-09","2.49","2","294"
"15338","Room in Greenpoint Loft w/ Roof","32169","Andrea","Brooklyn","Greenpoint","40.72401","-73.93788","Private room","49","4","138","2019-06-04","1.19","3","320"
"15385","Very, very cozy place","60252","Cristina","Brooklyn","Williamsburg","40.71185","-73.96204","Private room","80","2","42","2019-06-30","0.38","1","263"
"15711","2 bedroom - Upper East Side-great for kids","61491","D","Manhattan","Upper East Side","40.77065","-73.95269","Entire home/apt","250","2","66","2019-03-30","0.57","2","231"
"16338","Double Room w Private Deck Clinton Hill Best Area","63613","Patricia","Brooklyn","Clinton Hill","40.69","-73.96788","Private room","55","7","27","2017-09-30","0.23","2","292"
"16458","Light-filled 2B duplex in the heart of Park Slope!","64056","Sara","Brooklyn","Park Slope","40.67343","-73.98338","Entire home/apt","225","3","4","2017-09-24","0.16","1","0"
"16580","Sunny, Modern room in East Village!","64442","Reka","Manhattan","East Village","40.72649","-73.97904","Private room","80","1","338","2019-07-01","4.72","2","72"
"16595","*HAVEN LOFT - Entire Floor - Six Windows - Bricks*","64522","Daniel","Brooklyn","Williamsburg","40.70933","-73.96792","Entire home/apt","275","1","148","2019-06-23","1.4","1","362"
"16821","Large Room in Amazing East Village Apt","4396","Casey","Manhattan","East Village","40.72298","-73.98474","Private room","99","1","106","2019-06-21","1.26","2","336"
"16974","SpaHa Loft: Enormous and Bright","65837","Robin","Manhattan","East Harlem","40.80164","-73.93922","Entire home/apt","225","4","190","2019-06-23","1.64","1","215"
"17037","Lovely EV Artist's Home","66035","Anna","Manhattan","East Village","40.72162","-73.98008","Entire home/apt","230","9","49","2018-05-14","0.43","1","116"
"17092","Cool Room in Hell's Kitchen","66243","Enzo","Manhattan","Hell's Kitchen","40.76342","-73.98865","Private room","51","7","23","2019-06-01","0.43","1","88"
"17693","HARLEM, NEW YORK WELCOMES YOU!!","68428","Tye And Etienne","Manhattan","Washington Heights","40.83139","-73.94095","Private room","65","2","49","2019-06-18","1.6","2","336"
"17747","BLUE TRIM GUEST HOUSE","68599","George","Brooklyn","Clinton Hill","40.68346","-73.96374","Private room","105","2","105","2019-06-26","0.92","1","304"
"18127","Charming East Village One Bedroom Flat","69829","Josh","Manhattan","East Village","40.72828","-73.98801","Entire home/apt","190","5","21","2019-01-02","0.2","1","224"
"18152","Manhattan Room","69942","Victoria","Manhattan","Upper East Side","40.76865","-73.95058","Private room","200","1","142","2019-07-06","1.5","1","322"
"18590","Fort Greene Retreat on the Park","71512","Blaise","Brooklyn","Fort Greene","40.6932","-73.97267","Private room","95","3","143","2019-06-16","1.28","1","132"
"18728","Beautiful Meatpacking District Loft","71876","DAVID And RICK","Manhattan","Chelsea","40.74138","-74.00197","Private room","150","3","167","2019-05-28","1.65","1","295"
"18764","Cozy 2 BR in Williamsburg","72014","Lulú","Brooklyn","Williamsburg","40.71154","-73.96112","Private room","145","3","61","2019-04-22","0.54","4","238"
"19169","Entire 2 Bedroom - Large & Sunny","73128","JoLynn","Manhattan","Lower East Side","40.71851","-73.98892","Entire home/apt","285","5","70","2019-06-30","0.62","1","328"
"19282","Sunny, Spacious Top Floor Haven","73469","Gaia","Brooklyn","Flatbush","40.65401","-73.96323","Entire home/apt","130","6","16","2019-06-15","0.15","1","38"
"19812","2 bedroom Williamsburg Apt - Bedford L stop","74857","Starlee","Brooklyn","Williamsburg","40.71833","-73.95748","Entire home/apt","105","3","61","2018-08-09","0.53","1","272"
"20299","Oh glorious spring!","62407","Edward","Manhattan","East Village","40.72334","-73.9844","Private room","60","3","194","2019-06-30","1.73","1","26"
"20300","Great Location for NYC","76627","Pas","Manhattan","East Village","40.72912","-73.98057","Private room","50","1","2","2016-02-14","0.05","1","0"
"20611","Cozy Bedroom in Williamsburg 3 BR","72014","Lulú","Brooklyn","Williamsburg","40.71156","-73.96218","Private room","85","3","174","2019-06-22","1.54","4","288"
"20724","Sunny room+Pvte office in huge loft","961342","Augustin","Brooklyn","Bushwick","40.70032","-73.9383","Private room","65","4","24","2019-05-26","0.28","1","317"
"20734","Spacious Prospect Heights Apartment","78460","Sean & Lynette","Brooklyn","Prospect Heights","40.68233","-73.97261","Entire home/apt","131","4","166","2019-06-27","3.4","1","207"
"20755","Large Parlor Room, Landmark Home 1 block to PRATT","51038","Erica","Brooklyn","Clinton Hill","40.68634","-73.966","Private room","98","7","16","2019-05-31","0.2","6","185"
"20853","2-bed brownstone duplex + garden","79070","Tracy","Brooklyn","Prospect Heights","40.68035","-73.97162","Entire home/apt","250","7","21","2019-05-21","0.3","1","158"
"20913","Charming 1 bed GR8 WBurg LOCATION!","79402","Christiana","Brooklyn","Williamsburg","40.70984","-73.95775","Entire home/apt","100","5","168","2018-07-22","1.57","1","0"
"21293","Sunny Apartment in Artist Home","44145","Tyrome","Brooklyn","Bushwick","40.70093","-73.92609","Entire home/apt","105","3","118","2019-06-18","1.05","2","9"
"21456","Light-filled classic Central Park","42032","Dana","Manhattan","Upper West Side","40.79764","-73.96177","Entire home/apt","140","3","81","2019-07-07","0.71","1","198"
"21644","Upper Manhattan, New York","82685","Elliott","Manhattan","Harlem","40.82803","-73.94731","Private room","89","1","1","2018-10-09","0.11","1","365"
"22911","The Stuydio Modern and Light Filled","87773","Shelly","Brooklyn","Bedford-Stuyvesant","40.68413","-73.92357","Entire home/apt","125","7","139","2018-10-28","1.23","2","311"
"22918","loft bed - near transportation-15min to times sq","32294","Ssameer Or Trip","Manhattan","Harlem","40.82279","-73.95139","Private room","60","3","11","2019-01-03","0.87","3","219"
"23135","House On Henry (3rd FLR Suite)","11481","Annette","Brooklyn","Carroll Gardens","40.67967","-74.00154","Entire home/apt","175","2","233","2019-06-24","2.09","3","342"
"23501","Monkey Retreat Manhattan","63318","Meka","Manhattan","Washington Heights","40.83927","-73.94281","Private room","65","2","68","2012-11-01","0.6","1","312"
"24143","Williamsburg—Steps To Subway, Private Bath&Balcony","97219","Seth","Brooklyn","Williamsburg","40.71332","-73.94177","Private room","101","3","335","2019-05-29","3.02","1","152"
"25696","1,800 sq foot in luxury building","107628","Dena","Manhattan","Harlem","40.8092","-73.94421","Private room","100","2","170","2019-06-23","1.61","1","346"
"26362","Times Square, Safe, Clean and Cozy!","59734","Luiz","Manhattan","Hell's Kitchen","40.75527","-73.99291","Private room","59","2","334","2019-06-16","3","2","279"
"26520","Cozy Room #3, Landmark Home 1 Block to PRATT","51038","Erica","Brooklyn","Clinton Hill","40.68698","-73.96572","Private room","125","2","19","2019-06-02","0.2","6","250"
"26559","Beautiful Apartment East Village","112793","Sally","Manhattan","East Village","40.7288","-73.98192","Entire home/apt","140","7","12","2017-12-11","0.13","1","164"
"26954","NYC fabulous views Manhattan's eye","115157","Nimo","Manhattan","Kips Bay","40.74294","-73.98009","Entire home/apt","199","5","38","2015-12-02","0.38","1","260"
"26969","2 story family home in Williamsburg","115307","Alexandra","Brooklyn","Williamsburg","40.71942","-73.95748","Entire home/apt","325","3","324","2019-06-23","3.01","1","107"
"27006","Comfortable UWS 2-BD Family-Friendly Brownstone","115560","Stacy","Manhattan","Upper West Side","40.77823","-73.97637","Entire home/apt","235","6","27","2019-04-27","0.27","1","199"
"27385","Great Large 1 BR apt  in East Village!","72062","Bruce","Manhattan","East Village","40.72555","-73.97965","Entire home/apt","225","1","115","2019-06-07","1.05","4","299"
"27531","Eveland Private Bed & Living Room w/ Own Entrance","118971","Evelyn","Brooklyn","South Slope","40.66831","-73.98604","Private room","99","2","354","2019-05-20","3.2","3","20"
"27644","Sugar Hill Rest Stop","119510","Emma","Manhattan","Harlem","40.82754","-73.94919","Entire home/apt","170","2","195","2019-07-01","2.03","1","318"
"27759","apartment next to Central park","119900","Sylvie","Manhattan","Upper West Side","40.77842","-73.97556","Entire home/apt","170","7","13","2019-06-26","0.12","1","224"
"27883","East Village Sanctuary","120223","Jen","Manhattan","East Village","40.72245","-73.98527","Entire home/apt","100","4","25","2011-12-10","0.23","1","0"
"28321","Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.","65091","Kay","Brooklyn","Prospect-Lefferts Gardens","40.65593","-73.96053","Private room","75","2","9","2018-10-05","0.08","1","324"
"28396","Modern Apt with Spectacular Views","6197784","Jo","Brooklyn","Williamsburg","40.71923","-73.96468","Private room","90","1","9","2011-09-18","0.08","1","245"
"28907","Garden studio in the Upper East Sid","124352","Lisa","Manhattan","Upper East Side","40.778","-73.94822","Entire home/apt","150","5","21","2017-08-15","0.19","1","189"
"29013","B & B Room 1","35935","Angela","Brooklyn","Bedford-Stuyvesant","40.68332","-73.9547","Private room","70","3","63","2019-05-14","0.58","2","310"
"29455","ACCOMMODATIONS GALORE #1","126607","Laurine","Manhattan","Harlem","40.81618","-73.94894","Entire home/apt","120","3","155","2019-06-20","1.42","3","213"
"29628","Sunny Room in New Condo","127608","Chris","Brooklyn","Clinton Hill","40.68414","-73.96351","Private room","89","3","260","2019-07-03","2.35","1","278"
"29683","Stylish & Sleek Apartment Near SoHo!","125857","Uli","Manhattan","East Village","40.72392","-73.99143","Entire home/apt","185","5","73","2019-06-25","0.66","1","209"
"30031","NYC artists’ loft with roof deck","129352","Sol","Brooklyn","Greenpoint","40.73494","-73.9503","Private room","50","3","193","2019-05-20","1.86","1","0"
"30927","Unique & Charming small 1br Apt. LES","120335","Cs","Manhattan","Lower East Side","40.71341","-73.98856","Entire home/apt","105","3","32","2019-06-14","0.29","1","16"
"31130","Most Central Location!","117287","Lara","Manhattan","Hell's Kitchen","40.76754","-73.98399","Private room","130","2","50","2019-05-26","0.45","3","234"
"31902","Sanctuary in East Flatbush","137292","Sunder","Brooklyn","Flatlands","40.63188","-73.93248","Private room","77","2","2","2019-01-01","0.02","1","178"
"31994","Room with En Suite Bathroom & Deck","137814","Waldemar","Brooklyn","Clinton Hill","40.6873","-73.9634","Private room","76","2","426","2019-06-24","3.89","3","275"
"32023","FLAT MACDONOUGH","137974","Khem","Brooklyn","Bedford-Stuyvesant","40.68296","-73.93662","Entire home/apt","125","3","227","2019-06-23","2.09","2","163"
"32037","Huge Private  Floor at The Waverly","116599","Sahr","Brooklyn","Clinton Hill","40.6863","-73.96765","Private room","135","4","84","2019-07-01","0.77","3","365"
"32289","Sun-drenched, artsy modernist 1 BDRM duplex","139612","Elisabeth","Brooklyn","Williamsburg","40.71561","-73.94835","Entire home/apt","199","3","10","2018-06-11","0.1","1","280"
"32331","Sunny, Cobble Hill Apartment","139874","Sarah","Brooklyn","Cobble Hill","40.6857","-73.99183","Entire home/apt","140","2","4","2016-04-24","0.04","1","0"
"32363","Fully Furnished Basement Apartment","140025","Fredah","Queens","Flushing","40.74028","-73.83168","Private room","140","2","1","2011-09-19","0.01","1","1"
"32965","FLAT MACDONOUGH GARDEN","137974","Khem","Brooklyn","Bedford-Stuyvesant","40.68281","-73.93524","Entire home/apt","115","3","124","2019-06-20","1.72","2","170"
"32969","Light filled Williamsburg Apartment","142833","Katherine","Brooklyn","Williamsburg","40.71596","-73.93938","Entire home/apt","160","3","11","2019-07-02","0.11","1","188"
"33009","Retreat in Williamsburg","143027","Ming","Brooklyn","Williamsburg","40.71492","-73.95935","Entire home/apt","195","4","240","2019-06-17","2.19","1","214"
"33014","NYC Zen","143048","Paula","Manhattan","East Village","40.72354","-73.98295","Entire home/apt","195","3","30","2019-06-17","0.28","1","248"
"33223","Cozy BR in Wiliamsburg 3 Bedroom","72014","Lulú","Brooklyn","Williamsburg","40.71165","-73.96087","Private room","80","3","200","2019-06-22","1.86","4","262"
"34760","Sunny Room in Old Historical Brooklyn Townhouse","149929","Obed","Brooklyn","Fort Greene","40.69101","-73.97312","Private room","44","8","27","2019-06-29","1.05","5","280"
"35526","Sun Filled Classic West Village Apt","120291","Karen","Manhattan","West Village","40.73474","-74.00101","Private room","156","4","79","2019-06-22","0.74","1","307"
"36133","Classic Artist Loft Williamsburg","142684","White","Brooklyn","Williamsburg","40.71536","-73.96057","Private room","125","3","155","2019-06-13","1.61","1","1"
"36647","Private Bdrm/Bathrm. New! Elevator!","157798","Irene","Manhattan","East Harlem","40.79295","-73.93997","Private room","69","2","34","2017-05-29","0.32","1","10"
"36934","Great location in Williamsburg","159370","Viviana","Brooklyn","Williamsburg","40.71363","-73.96398","Entire home/apt","125","6","27","2018-12-27","0.25","1","189"
"38638","Light and Airy Upper East Side 1 BDR apartment","92788","Sara","Manhattan","Upper East Side","40.77711","-73.9527","Entire home/apt","219","4","126","2019-06-26","1.16","2","290"
"39267","CENTRAL PARK LOFT all for YOU","168417","Marie","Manhattan","Upper East Side","40.77456","-73.95323","Entire home/apt","99","1","234","2019-06-08","2.6","2","164"
"39282","Indie-Chic Share In Williamsburg","168525","Gus","Brooklyn","Williamsburg","40.71088","-73.95055","Private room","69","4","202","2019-05-28","1.86","2","53"
"39704","Private, Large & Sunny 1BR w/W&D","170510","Renée","Brooklyn","Bedford-Stuyvesant","40.68306","-73.94659","Entire home/apt","135","2","309","2019-06-22","2.86","2","3"
"40039","Luxurious Condo in DUBMO with View","171851","Henry","Brooklyn","DUMBO","40.70207","-73.98571","Private room","250","3","14","2011-04-25","0.13","1","189"
"40453","Charming & Cozy midtown loft any WEEK ENDS  !!!","174025","Sylvia","Manhattan","Upper East Side","40.76123","-73.9642","Entire home/apt","250","3","4","2016-09-23","0.08","1","365"
"41348","* Spacious GARDEN Park Slope Duplex* 6 people max","180083","Syl","Brooklyn","Gowanus","40.66858","-73.99083","Entire home/apt","250","2","80","2019-07-06","2.17","1","0"
"41513","Convenient cozy cheap apt Manhattan","181167","Lorenzo","Manhattan","Harlem","40.82704","-73.94907","Entire home/apt","80","3","2","2015-11-02","0.04","1","0"
"42580","Parlor Room In Victorian Townhouse","137814","Waldemar","Brooklyn","Clinton Hill","40.68843","-73.96408","Private room","70","2","294","2019-06-24","3.47","3","336"
"42729","House On Henry (2nd FLR Suite)","11481","Annette","Brooklyn","Carroll Gardens","40.6783","-74.00135","Entire home/apt","165","2","150","2019-06-18","1.4","3","342"
"42882","New York room with a view","185978","Newyorkroomwithaview","Staten Island","St. George","40.64524","-74.08088","Private room","70","2","166","2019-06-13","1.66","1","312"
"43957","Sunny cozy room in Brklyn townhouse","177536","Tessa","Brooklyn","Bushwick","40.70641","-73.91765","Private room","50","2","47","2019-06-19","0.94","1","37"
"44096","Room with a View","190409","Waundell","Bronx","Highbridge","40.83232","-73.93184","Private room","40","1","219","2019-07-04","2.04","3","353"
"44161","Light+Open+Airy+Rustic+Modern Loft","193360","Young","Brooklyn","Williamsburg","40.71045","-73.9677","Entire home/apt","150","2","193","2016-07-06","1.78","1","177"
"44212","West Inn 2 - East Village","72062","Bruce","Manhattan","East Village","40.72518","-73.98034","Private room","125","1","84","2019-06-23","0.78","4","310"
"44221","Financial District Luxury Loft","193722","Coral","Manhattan","Financial District","40.70666","-74.01374","Entire home/apt","196","3","114","2019-06-20","1.06","1","0"
"44229","BROOKLYN VICTORIAN STYLE SUITE.....","181376","Carol","Brooklyn","Fort Greene","40.69098","-73.97113","Private room","110","2","213","2019-06-24","2","2","321"
"44288","Your own Lovely West Village Studio","193637","Sara","Manhattan","West Village","40.73756","-74.00405","Entire home/apt","170","3","86","2019-06-01","0.8","1","246"
"44506","ACCOMMODATIONS GALORE#3. 1-5 GUESTS","126607","Laurine","Manhattan","Harlem","40.81526","-73.94791","Entire home/apt","165","3","80","2019-05-26","0.75","3","231"
"45542","Clean and Cozy Harlem Apartment","202249","Campbell","Manhattan","Harlem","40.82374","-73.9373","Entire home/apt","100","2","18","2018-12-17","1.79","1","0"
"45556","Fort Greene, Brooklyn: Center Bedroom","67778","Doug","Brooklyn","Fort Greene","40.68863","-73.97691","Private room","65","2","206","2019-06-30","1.92","2","0"
"45936","Couldn't Be Closer To Columbia Uni","867225","Rahul","Manhattan","Morningside Heights","40.80549","-73.95924","Private room","99","4","122","2019-05-14","1.18","2","233"
"45940","Bright Spacious Luxury Condo","204724","Miyoung","Brooklyn","Williamsburg","40.71627","-73.9587","Entire home/apt","200","4","33","2019-04-08","0.58","1","1"
"46544","Park Slope haven 15 mins from Soho","8198","Monica","Brooklyn","Park Slope","40.67994","-73.97863","Entire home/apt","150","5","52","2019-06-05","0.5","1","18"
"46723","SAFE  AND BEAUTIFUL ACCOMODATION","209460","Marylyn","Brooklyn","Bedford-Stuyvesant","40.67992","-73.9475","Private room","90","3","126","2019-05-19","1.17","4","343"
"46911","Large Room in private Brownstone in Park Slope","210746","Kathleen R.","Brooklyn","Prospect Heights","40.67868","-73.97307","Private room","120","3","51","2019-06-24","0.48","3","250"
"47199","NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)","212722","Teresa","Manhattan","Upper East Side","40.76834","-73.95334","Private room","75","3","199","2019-06-24","1.85","1","326"
"47370","Chelsea Studio sublet 1 - 2 months","214287","Alex","Manhattan","Chelsea","40.74031","-73.99999","Entire home/apt","125","3","3","2015-07-17","0.03","1","0"
"47926","LUX APT IN TIMES SQUARE NEW BUILDING","218404","Claudia","Manhattan","Hell's Kitchen","40.76307","-73.99665","Entire home/apt","275","1","41","2019-06-26","0.38","1","299"
"48719","Designer 1 BR Duplex w/ Terrace- Spectacular Views","221873","Shane","Manhattan","Lower East Side","40.71882","-73.98852","Entire home/apt","299","2","109","2019-06-15","1.04","1","207"
"50447","Lovely Apt & Garden;  Legal;  Best Area; Amenities","9744","Laurie","Brooklyn","South Slope","40.6693","-73.98804","Entire home/apt","135","5","151","2019-06-22","1.43","3","162"
"51485","Lower East Side $57~/night","236655","Erina","Manhattan","Lower East Side","40.72319","-73.99201","Private room","83","1","285","2019-06-22","2.69","1","7"
"51572","Prime Location in Manhattan","237329","Lee","Manhattan","Chelsea","40.74859","-73.99671","Private room","123","1","375","2019-06-18","3.52","1","328"
"51850","( F) Excellent/Pvt Rm","27848","Jullett","Queens","Jamaica","40.67252","-73.76597","Private room","55","2","52","2019-05-20","0.49","2","365"
"53137","Quiet, sunny Midtown Manhattan apt.","240360","Marlaine","Manhattan","Hell's Kitchen","40.76244","-73.99271","Entire home/apt","195","5","10","2019-07-01","1.01","1","0"
"53196","Big Room/Washer-Dryer/Wifi/AC/JMZ","247432","Charlotte","Brooklyn","Bedford-Stuyvesant","40.69546","-73.93503","Private room","80","2","11","2017-11-13","0.48","1","0"
"53470","Clean and convenient 2BR apartment","204539","Mark","Queens","Ridgewood","40.70234","-73.89816","Private room","140","7","6","2015-10-08","0.06","5","365"
"53477","3 floors of luxury!","204539","Mark","Queens","Middle Village","40.71546","-73.87854","Entire home/apt","265","7","38","2019-04-27","0.38","5","365"
"54158","The Institute—Heart of Williamsburg","10889","Bob","Brooklyn","Williamsburg","40.7195","-73.95976","Entire home/apt","249","2","358","2019-06-20","3.44","2","164"
"54453","MIDTOWN WEST - Large alcove studio","255583","Anka","Manhattan","Hell's Kitchen","40.76548","-73.98474","Shared room","105","6","10","2014-01-07","0.09","1","363"
